name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Meet Me in Paris - Radio Edit,DJ Antoine,Mad Mark,spotify:track:7ggU8237ZuzJxy4aVBGnmG,2014,14,False,200920,0.729,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0951,0.547,127.914
Disco Pogo - Atzen Musik Mix,Die Atzen Frauenarzt,Manny Marc,spotify:track:3O6xjfDP08rqcfqMD7lnEg,2010,42,False,204115,0.654,0.771,11,-4.844,0,0.0928,0.00898,0.0,0.0966,0.286,131.876
More - RedOne Jimmy Joker Remix,Usher,,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,2010,65,False,219987,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083
Turn This Club Around (feat. U-Jean) - Video Edit,R.I.O.,U-Jean,spotify:track:4CPygBmg8tShp6vHxf9ntz,2011,0,False,201459,0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.916,127.981
Morgens immer müde - Single Version,Laing,,spotify:track:2ta32gI6EPiCgnrOXnslOm,2012,12,False,203240,0.93,0.584,6,-8.688,1,0.0443,0.0197,0.00227,0.102,0.923,130.024
Higher Ground - Flamemakers Radio Edit,Remady,ManuL,spotify:track:3TD21S7DgPAsQFsdAOE8zP,2012,16,False,178321,0.573,0.817,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023
My Party (Radio Version),DJane HouseKat,Rameez,spotify:track:2UT8Re2t44hoUYCKJcOdqn,2012,29,False,180000,0.732,0.772,5,-5.779,0,0.241,0.0209,0.00152,0.878,0.573,128.038
Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,Rico Bernasconi,Tuklan,spotify:track:7g9UjIFjs7KihId4XgIWQI,2015,30,False,196617,0.693,0.921,1,-3.457,0,0.191,0.136,0.0,0.591,0.651,122.134
Wicked Wonderland,Tungevaag,,spotify:track:0zQXwzM2gtGfClqBBTsKXp,2014,47,False,217270,0.699,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.749,127.916
Freed From Desire - Radio Edit,Fun[k]House,,spotify:track:3V3BtIfN5FwhnnaV5a6xAu,2013,33,False,183089,0.672,0.899,0,-4.197,1,0.0473,0.00321,1.96e-05,0.34,0.488,127.967
Boom (feat. Carlprit) - Video Edit,ItaloBrothers,Carlprit,spotify:track:0dZ5AOJd3E9SUrPeKYeMbK,2012,0,False,191170,0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.119,0.342,149.964
Animal (feat. U-Jean) - Video Edit,R.I.O.,U-Jean,spotify:track:79MkbP0nYwH5LG9fzwuCjZ,2012,27,False,212467,0.62,0.865,0,-4.697,0,0.0412,0.00929,0.0,0.453,0.555,128.037
Bring Back The Love - Radio Edit,Mike Candys,Jenson Vaughan,spotify:track:3nay4trOaT3jnPCreU5BIO,2013,5,False,196293,0.606,0.816,5,-3.787,1,0.0616,0.0109,5.8e-05,0.223,0.476,127.982
Big Jet Plane,Angus & Julia Stone,,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,2010,60,False,239120,0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944
Electric Feel,MGMT,,spotify:track:3FtYbEfBqAlGO46NUDQSAt,2007,76,False,229640,0.763,0.807,1,-3.714,1,0.035,0.0714,0.28,0.348,0.559,103.038
I Wanna Go,Britney Spears,,spotify:track:5cCAZS9VhLGEDV4NCfieeg,2011,65,False,210267,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002
Boys Boys Boys,Lady Gaga,,spotify:track:33CB8obztQNidFDbO6Z1Wl,2008,44,False,200813,0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989
Feeling Good,Nina Simone,,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,1965,0,False,174000,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206
Sunshine (Fly So High) - 2012 Radio Mix,Mike Candys,Sandra Wild,spotify:track:3lEL5rTa86urrKRRunT6Lr,2012,17,False,167398,0.653,0.953,5,-4.307,0,0.112,0.12,0.0139,0.137,0.46,129.055
Glorious - Video Edit,Cascada,,spotify:track:7MLSUbB20MvCmqDgL2gCco,2013,23,False,207600,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.311,0.319,127.983
Vamos a la Playa - Radio Edit,Loona,,spotify:track:0ELV9UkTP2505QXAsoM0iI,2013,0,False,177939,0.7,0.959,9,-4.483,1,0.0499,0.103,0.0,0.404,0.877,131.005
More Than Friends (feat. Daddy Yankee),INNA,Daddy Yankee,spotify:track:3eqeE039Sa2bOSQl06F3nf,2013,0,False,237800,0.799,0.787,11,-5.02,1,0.0489,0.0241,0.00053,0.409,0.962,128.033
Welcome To St. Tropez - DJ Antoine vs Mad Mark Radio Edit,DJ Antoine,Timati,spotify:track:3itAdIDLIwKskzx3bRIKrx,2011,48,False,194583,0.769,0.771,0,-4.794,0,0.132,0.00673,0.0,0.323,0.704,124.982
Hey Mamma - Radio Edit,Sunstroke Project,,spotify:track:59JayqW5h9kyhLEcCTwPRX,2017,0,False,179625,0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098
Mad World (Feat. Michael Andrews),Gary Jules,Michael Andrews,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,2001,67,False,189507,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117
Fly With Me,Artsvik,,spotify:track:1PbsliSdEPxPRqtsrKFzOR,2017,0,False,179134,0.579,0.803,4,-4.893,0,0.148,0.79,0.0582,0.0813,0.396,180.03
Echoes,The Rapture,,spotify:track:5OW1Zo95O1j4gJYk7Lafbk,2003,0,False,186520,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986
Arsonist's Lullabye,Hozier,,spotify:track:6Rcl83L6fCXbdJPSG5HAQh,2013,0,False,266613,0.409,0.417,6,-9.038,0,0.0356,0.588,0.0627,0.124,0.186,130.112
Work Song,Hozier,,spotify:track:4Vc3bzFxXdrABa2DxgyCMT,2014,59,False,229720,0.531,0.359,10,-7.672,1,0.0619,0.749,0.0,0.112,0.254,121.249
Fairytale,Alexander Rybak,,spotify:track:37lYrZzmbRiEySPGkiGjXA,2009,0,False,182600,0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003
Origo,Pápai Joci,,spotify:track:58erMXiJBLy1URLSXguVNw,2017,35,False,203889,0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.862
Great Southern Land,ICEHOUSE,,spotify:track:2qUjP7g8WY3fzBCNTELwjy,2011,0,False,317200,0.717,0.837,9,-5.641,1,0.0278,0.244,0.000145,0.067,0.468,120.142
Four Seasons In One Day,Crowded House,,spotify:track:6ytBxmixhkR4PZ5wNS57dD,2010,28,False,167657,0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834
The Walk - Remastered Version,Eurythmics,Annie Lennox,spotify:track:67xHrhdRPmr0iwt9oX6RVk,1983,25,False,283267,0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.192
Human - Edit,The Human League,,spotify:track:7qm1JpihtROAIU1XpvqYHS,1988,55,False,228867,0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4
Chameleon,PNAU,,spotify:track:4rex1k9pBVFaIVKBBssZzi,2016,0,False,198021,0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989
You've Got Time,Regina Spektor,,spotify:track:1vDMGBzqLJWZC5UzePDURw,2013,50,False,189480,0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467
Love Is A Stranger - Remastered Version,Eurythmics,Annie Lennox,spotify:track:2jItmTTkIL6SkvABXsTaYT,1983,49,False,224773,0.781,0.648,5,-8.216,1,0.0264,0.00761,0.0,0.132,0.546,121.93
SING,My Chemical Romance,,spotify:track:1mX6SYJ1ZpcoxQUiER8wOI,2010,58,False,270387,0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98
