danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,spotify:track:2SSYLcSiT7oImgsS8cPyQu,182333
0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,spotify:track:6Uj2uYNRJs4nHv5uQxmkDh,185625
0.581,0.877,3,-3.595,0,0.0486,0.0172,0.0,0.248,0.35,127.952,spotify:track:1UPyhGntpIx9jGJ5UVtKVS,189375
0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,spotify:track:5sAlmL7Qp9N9BJTADkwEt9,234693
0.707,0.566,7,-5.947,0,0.059,0.0125,0.00509,0.7,0.925,132.985,spotify:track:4E66OUjk7fjc0P4G1hsyjO,176913
0.79,0.912,11,-5.48,0,0.0563,0.0189,0.00169,0.954,0.812,127.957,spotify:track:2JY04WbtwfYltefsImOcjg,232046
0.649,0.773,7,-5.888,0,0.0891,0.169,0.0,0.374,0.65,128.082,spotify:track:0j4kPncBrdidY9Mfl1eZ1d,195418
0.504,0.91,0,-4.76,1,0.101,0.0992,0.0,0.312,0.647,182.02,spotify:track:3ORKQJCTt7XhaCxupu5f0g,198640
0.792,0.856,11,-5.236,0,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,spotify:track:4d2hD63oUGU3s7L66JD0BE,237267
0.875,0.746,1,-6.562,1,0.0589,0.004,0.892,0.0416,0.338,124.98,spotify:track:3TRL1KwXgyf02lpLVf07Ho,190762
0.694,0.676,6,-5.159,0,0.0382,0.0606,0.0,0.287,0.762,122.928,spotify:track:6oDeoC3efxcKdv9GjBdXbX,246154
0.905,0.803,0,-4.126,0,0.0422,0.0611,0.0248,0.169,0.77,126.98,spotify:track:4qQeh1MvWC78fGG0JaUq4I,222040
0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,spotify:track:36cmM3MBMWWCFIiQ90U4J8,222187
0.797,0.423,7,-11.079,1,0.0582,0.346,0.00173,0.137,0.647,101.953,spotify:track:473UAvIVzoWlNlJkv3CBMs,151618
0.694,0.488,7,-11.875,0,0.0381,0.042,0.00514,0.441,0.719,113.994,spotify:track:3DKU78r2kEkXAR8YGBTojT,208457
0.739,0.467,0,-13.108,0,0.0471,0.0499,0.113,0.0704,0.597,111.956,spotify:track:3x7bxNyp7c3EprzGzz7WfU,203036
0.638,0.509,3,-11.337,1,0.0345,0.178,4.03e-06,0.118,0.54,109.942,spotify:track:6Vxrr23Kse86mQZEFE0ruF,175161
0.651,0.801,0,-7.34,1,0.0513,0.123,0.0,0.0825,0.776,133.763,spotify:track:5jzma6gCzYtKB1DbEwFZKH,200480
0.73,0.426,5,-11.39,1,0.0423,0.141,0.000116,0.135,0.903,149.98,spotify:track:4Ep2HJ1nWvt7SXQLEdgtJj,218000
0.765,0.394,11,-12.446,1,0.0307,0.234,0.154,0.114,0.702,132.004,spotify:track:5zMFeMnr96hoF95qPwWe8E,175909
0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,spotify:track:01TuObJVd7owWchVRuQbQw,279507
0.589,0.877,5,-2.642,1,0.0399,0.00681,0.0,0.199,0.373,128.007,spotify:track:2O3BMy8WuWqWPtHCL8IAMZ,201900
